file_name,sent,annotate1,annotate2
snowdrop.emmood,"Then they went out all day long to their work, seeking for gold and silver in the mountains: but Snowdrop was left at home; and they warned her, and said, ""The queen will soon find out where you are, so take care and let no one in.""",F:N,H:N
snowdrop.emmood,"But the queen, now that she thought Snowdrop was dead, believed that she must be the handsomest lady in the land; and she went to her glass and said:",F:N,F:N
snowdrop.emmood,"""Tell me, glass, tell me true!",N:N,F:N
snowdrop.emmood,"Of all the ladies in the land, Who is fairest, tell me, who?""",N:N,F:N
snowdrop.emmood,And the glass answered:,N:N,F:N
snowdrop.emmood,"""Thou, queen, art the fairest in all this land: But over the hills, in the greenwood shade, Where the seven dwarfs their dwelling have made, There Snowdrop is hiding her head; and she Is lovelier far, O queen! than thee.""",A:N,F:N
snowdrop.emmood,"Then the queen was very much frightened; for she knew that the glass always spoke the truth, and was sure that the servant had betrayed her.",F:F,F:F
snowdrop.emmood,"And she could not bear to think that anyone lived who was more beautiful than she was; so she dressed herself up as an old pedlar, and went her way over the hills, to the place where the dwarfs dwelt.",A:N,F:A
snowdrop.emmood,"Then she knocked at the door, and cried, ""Fine wares to sell!""",N:N,F:N
snowdrop.emmood,"Snowdrop looked out at the window, and said, ""Good day, good woman! what have you to sell?""",N:N,F:H
snowdrop.emmood,"""Good wares, fine wares,"" said she; ""laces and bobbins of all colours.""",N:N,F:N
snowdrop.emmood,"""I will let the old lady in; she seems to be a very good sort of body,"" thought Snowdrop, as she ran down and unbolted the door.",H:N,F:H
snowdrop.emmood,"""Bless me!"" said the old woman, ""how badly your stays are laced!",N:N,F:N
snowdrop.emmood,"Let me lace them up with one of my nice new laces.""",N:N,F:N
snowdrop.emmood,"Snowdrop did not dream of any mischief; so she stood before the old woman; but she set to work so nimbly, and pulled the lace so tight, that Snowdrop""s breath was stopped, and she fell down as if she were dead.",Su-:N,F:-
snowdrop.emmood,"""There""s an end to all thy beauty,"" said the spiteful queen, and went away home.",A:A,F:A
snowdrop.emmood,"In the evening the seven dwarfs came home; and I need not say how grieved they were to see their faithful Snowdrop stretched out upon the ground, as if she was quite dead.",Sa:Sa,F:S
snowdrop.emmood,"However, they lifted her up, and when they found what ailed her, they cut the lace; and in a little time she began to breathe, and very soon came to life again.",H:N,F:H
snowdrop.emmood,"Then they said, ""The old woman was the queen herself; take care another time, and let no one in when we are away.""",A:N,F:N
snowdrop.emmood,"When the queen got home, she went straight to her glass, and spoke to it as before; but to her great grief it still said:",A:Sa,F:-
snowdrop.emmood,"""Thou, queen, art the fairest in all this land: But over the hills, in the greenwood shade, Where the seven dwarfs their dwelling have made, There Snowdrop is hiding her head; and she Is lovelier far, O queen! than thee.""",A:N,F:N
snowdrop.emmood,"Then the blood ran cold in her heart with spite and malice, to see that Snowdrop still lived; and she dressed herself up again, but in quite another dress from the one she wore before, and took with her a poisoned comb.",A:A,A:A
snowdrop.emmood,"When she reached the dwarfs"" cottage, she knocked at the door, and cried, ""Fine wares to sell!""",A:N,A:N
snowdrop.emmood,"But Snowdrop said, ""I dare not let anyone in.""",F:F,A:F
snowdrop.emmood,"Then the queen said, ""Only look at my beautiful combs!"" and gave her the poisoned one.",N:N,F:N
snowdrop.emmood,"And it looked so pretty, that she took it up and put it into her hair to try it; but the moment it touched her head, the poison was so powerful that she fell down senseless.",Su-:N,F:-
snowdrop.emmood,"""There you may lie,"" said the queen, and went her way.",H:N,F:-
snowdrop.emmood,"But by good luck the dwarfs came in very early that evening; and when they saw Snowdrop lying on the ground, they thought what had happened, and soon found the poisoned comb.",F:N,F:-
snowdrop.emmood,"And when they took it away she got well, and told them all that had passed; and they warned her once more not to open the door to anyone.",F:N,F:N
snowdrop.emmood,"Meantime the queen went home to her glass, and shook with rage when she read the very same answer as before; and she said, ""Snowdrop shall die, if it cost me my life.""",A:A,F:A
snowdrop.emmood,"So she went by herself into her chamber, and got ready a poisoned apple: the outside looked very rosy and tempting, but whoever tasted it was sure to die.",A:N,F:N
snowdrop.emmood,"Then she dressed herself up as a peasant""s wife, and travelled over the hills to the dwarfs"" cottage, and knocked at the door; but Snowdrop put her head out of the window and said, ""I dare not let anyone in, for the dwarfs have told me not.""",F:F,F:F
snowdrop.emmood,"""Do as you please,"" said the old woman, ""but at any rate take this pretty apple; I will give it you.""",F:N,F:N
snowdrop.emmood,"""No,"" said Snowdrop, ""I dare not take it.""",F:F,F:F
snowdrop.emmood,"""You silly girl!"" answered the other, ""what are you afraid of?",A:A,F:A
snowdrop.emmood,Do you think it is poisoned?,A:N,F:N
snowdrop.emmood,"Come! do you eat one part, and I will eat the other.""",A:N,F:N
snowdrop.emmood,"Now the apple was so made up that one side was good, though the other side was poisoned.",F:N,F:N
snowdrop.emmood,"Then Snowdrop was much tempted to taste, for the apple looked so very nice; and when she saw the old woman eat, she could wait no longer.",F:N,F:N
snowdrop.emmood,"But she had scarcely put the piece into her mouth, when she fell down dead upon the ground.",Sa:N,S:F
snowdrop.emmood,"""This time nothing will save thee,"" said the queen; and she went home to her glass, and at last it said:",H:N,S:F
snowdrop.emmood,"""Thou, queen, art the fairest of all the fair.""",H:N,S:N
snowdrop.emmood,"And then her wicked heart was glad, and as happy as such a heart could be.",H:H,S:F
snowdrop.emmood,"When evening came, and the dwarfs had gone home, they found Snowdrop lying on the ground: no breath came from her lips, and they were afraid that she was quite dead.",F:F,S:F
snowdrop.emmood,"They lifted her up, and combed her hair, and washed her face with wine and water; but all was in vain, for the little girl seemed quite dead.",Sa:N,S:S
snowdrop.emmood,"So they laid her down upon a bier, and all seven watched and bewailed her three whole days; and then they thought they would bury her: but her cheeks were still rosy; and her face looked just as it did while she was alive; so they said, ""We will never bury her in the cold ground.""",Sa:Sa,S:S
snowdrop.emmood,"And they made a coffin of glass, so that they might still look at her, and wrote upon it in golden letters what her name was, and that she was a king""s daughter.",Sa:N,S:S
snowdrop.emmood,"And the coffin was set among the hills, and one of the dwarfs always sat by it and watched.",Sa:N,S:S
snowdrop.emmood,"And the birds of the air came too, and bemoaned Snowdrop; and first of all came an owl, and then a raven, and at last a dove, and sat by her side.",Sa:Sa,S:S
snowdrop.emmood,"And thus Snowdrop lay for a long, long time, and still only looked as though she was asleep; for she was even now as white as snow, and as red as blood, and as black as ebony.",N:N,S:S
snowdrop.emmood,"At last a prince came and called at the dwarfs"" house; and he saw Snowdrop, and read what was written in golden letters.",Su+:N,S:N
snowdrop.emmood,"Then he offered the dwarfs money, and prayed and besought them to let him take her away; but they said, ""We will not part with her for all the gold in the world.""",Sa:Sa,S:S
snowdrop.emmood,"At last, however, they had pity on him, and gave him the coffin; but the moment he lifted it up to carry it home with him, the piece of apple fell from between her lips, and Snowdrop awoke, and said, ""Where am I?""",Su+:Sa,H:S
snowdrop.emmood,"And the prince said, ""Thou art quite safe with me.""",H:N,H:H
snowdrop.emmood,"Then he told her all that had happened, and said, ""I love you far better than all the world; so come with me to my father""s palace, and you shall be my wife.""",H:N,H:H
snowdrop.emmood,"And Snowdrop consented, and went home with the prince; and everything was got ready with great pomp and splendour for their wedding.",H:N,H:H
snowdrop.emmood,"To the feast was asked, among the rest, Snowdrop""s old enemy the queen; and as she was dressing herself in fine rich clothes, she looked in the glass and said:",N:N,H:N
snowdrop.emmood,"""Tell me, glass, tell me true!",N:N,H:N
snowdrop.emmood,"Of all the ladies in the land, Who is fairest, tell me, who?""",N:N,H:N
snowdrop.emmood,And the glass answered:,N:N,H:N
snowdrop.emmood,"""Thou, lady, art loveliest here, I ween; But lovelier far is the new-made queen.""",N:N,H:N
snowdrop.emmood,"When she heard this she started with rage; but her envy and curiosity were so great, that she could not help setting out to see the bride.",A:A,F:A
snowdrop.emmood,"And when she got there, and saw that it was no other than Snowdrop, who, as she thought, had been dead a long while, she choked with rage, and fell down and died: but Snowdrop and the prince lived and reigned happily over that land many, many years; and sometimes they went up into the mountains, and paid a visit to the little dwarfs, who had been so kind to Snowdrop in her time of need.",H:A,H:H
the_water_of_life.emmood,"Long before you or I were born, there reigned, in a country a great way off, a king who had three sons.",N:N,N:N
the_water_of_life.emmood,This king once fell very ill--so ill that nobody thought he could live.,Sa:N,N:N
the_water_of_life.emmood,"His sons were very much grieved at their father""s sickness; and as they were walking together very mournfully in the garden of the palace, a little old man met them and asked what was the matter.",Sa:Sa,S:S
the_water_of_life.emmood,"They told him that their father was very ill, and that they were afraid nothing could save him.",Sa:Sa,S:S
the_water_of_life.emmood,"""I know what would,"" said the little old man; ""it is the Water of Life.",H:N,N:S
the_water_of_life.emmood,"If he could have a draught of it he would be well again; but it is very hard to get.""",N:N,N:S
the_water_of_life.emmood,"Then the eldest son said, ""I will soon find it"": and he went to the sick king, and begged that he might go in search of the Water of Life, as it was the only thing that could save him.",F:N,S:S
the_water_of_life.emmood,"""No,"" said the king.",N:N,S:S
the_water_of_life.emmood,"""I had rather die than place you in such great danger as you must meet with in your journey.""",D:F,S:S
the_water_of_life.emmood,"But he begged so hard that the king let him go; and the prince thought to himself, ""If I bring my father this water, he will make me sole heir to his kingdom.""",H:H,N:S
the_water_of_life.emmood,"Then he set out: and when he had gone on his way some time he came to a deep valley, overhung with rocks and woods; and as he looked around, he saw standing above him on one of the rocks a little ugly dwarf, with a sugarloaf cap and a scarlet cloak; and the dwarf called to him and said, ""Prince, whither so fast?""",F:Su-,N:N
the_water_of_life.emmood,"""What is that to thee, you ugly imp?"" said the prince haughtily, and rode on.",D:A,D:-
the_water_of_life.emmood,"But the dwarf was enraged at his behaviour, and laid a fairy spell of ill-luck upon him; so that as he rode on the mountain pass became narrower and narrower, and at last the way was so straitened that he could not go to step forward: and when he thought to have turned his horse round and go back the way he came, he heard a loud laugh ringing round him, and found that the path was closed behind him, so that he was shut in all round.",A:A,A:N
the_water_of_life.emmood,"He next tried to get off his horse and make his way on foot, but again the laugh rang in his ears, and he found himself unable to move a step, and thus he was forced to abide spellbound.",Su-:F,-:N
the_water_of_life.emmood,"Meantime the old king was lingering on in daily hope of his son""s return, till at last the second son said, ""Father, I will go in search of the Water of Life.""",F:N,N:N
the_water_of_life.emmood,"For he thought to himself, ""My brother is surely dead, and the kingdom will fall to me if I find the water.""",H:H,N:N
the_water_of_life.emmood,"The king was at first very unwilling to let him go, but at last yielded to his wish.",N:A,N:N
the_water_of_life.emmood,"So he set out and followed the same road which his brother had done, and met with the same elf, who stopped him at the same spot in the mountains, saying, as before, ""Prince, prince, whither so fast?""",N:Su-,N:N
the_water_of_life.emmood,"""Mind your own affairs, busybody!"" said the prince scornfully, and rode on.",D:A,D:A
the_water_of_life.emmood,"But the dwarf put the same spell upon him as he put on his elder brother, and he, too, was at last obliged to take up his abode in the heart of the mountains.",N:N,D:A
the_water_of_life.emmood,"Thus it is with proud silly people, who think themselves above everyone else, and are too proud to ask or take advice.",N:N,N:A
the_water_of_life.emmood,"When the second prince had thus been gone a long time, the youngest son said he would go and search for the Water of Life, and trusted he should soon be able to make his father well again.",N:H,N:H
the_water_of_life.emmood,"So he set out, and the dwarf met him too at the same spot in the valley, among the mountains, and said, ""Prince, whither so fast?""",N:N,N:N
the_water_of_life.emmood,"And the prince said, ""I am going in search of the Water of Life, because my father is ill, and like to die: can you help me?",N:Su+,N:N
the_water_of_life.emmood,"Pray be kind, and aid me if you can!""",F:H,N:+
the_water_of_life.emmood,"""Do you know where it is to be found?"" asked the dwarf.",N:N,N:+
the_water_of_life.emmood,"""No,"" said the prince, ""I do not.",N:N,N:+
the_water_of_life.emmood,"Pray tell me if you know.""",N:H,N:+
the_water_of_life.emmood,"""Then as you have spoken to me kindly, and are wise enough to seek for advice, I will tell you how and where to go.",H:H,N:+
the_water_of_life.emmood,"The water you seek springs from a well in an enchanted castle; and, that you may be able to reach it in safety, I will give you an iron wand and two little loaves of bread; strike the iron door of the castle three times with the wand, and it will open: two hungry lions will be lying down inside gaping for their prey, but if you throw them the bread they will let you pass; then hasten on to the well, and take some of the Water of Life before the clock strikes twelve; for if you tarry longer the door will shut upon you for ever.""",N:N,N:F
the_water_of_life.emmood,"Then the prince thanked his little friend with the scarlet cloak for his friendly aid, and took the wand and the bread, and went travelling on and on, over sea and over land, till he came to his journey""s end, and found everything to be as the dwarf had told him.",H:N,N:F
the_water_of_life.emmood,"The door flew open at the third stroke of the wand, and when the lions were quieted he went on through the castle and came at length to a beautiful hall.",N:N,N:F
the_water_of_life.emmood,Around it he saw several knights sitting in a trance; then he pulled off their rings and put them on his own fingers.,N:N,N:F
the_water_of_life.emmood,"In another room he saw on a table a sword and a loaf of bread, which he also took.",N:N,N:F
the_water_of_life.emmood,"Further on he came to a room where a beautiful young lady sat upon a couch; and she welcomed him joyfully, and said, if he would set her free from the spell that bound her, the kingdom should be his, if he would come back in a year and marry her.",H:H,H:+
the_water_of_life.emmood,"Then she told him that the well that held the Water of Life was in the palace gardens; and bade him make haste, and draw what he wanted before the clock struck twelve.",N:N,N:+
the_water_of_life.emmood,"He walked on; and as he walked through beautiful gardens he came to a delightful shady spot in which stood a couch; and he thought to himself, as he felt tired, that he would rest himself for a while, and gaze on the lovely scenes around him.",N:N,N:F
the_water_of_life.emmood,"So he laid himself down, and sleep fell upon him unawares, so that he did not wake up till the clock was striking a quarter to twelve.",N:N,N:F
the_water_of_life.emmood,"Then he sprang from the couch dreadfully frightened, ran to the well, filled a cup that was standing by him full of water, and hastened to get away in time.",F:F,F:F
the_water_of_life.emmood,"Just as he was going out of the iron door it struck twelve, and the door fell so quickly upon him that it snapped off a piece of his heel.",Su-:N,-:F
the_water_of_life.emmood,"When he found himself safe, he was overjoyed to think that he had got the Water of Life; and as he was going on his way homewards, he passed by the little dwarf, who, when he saw the sword and the loaf, said, ""You have made a noble prize; with the sword you can at a blow slay whole armies, and the bread will never fail you.""",Su+:H,H:H
the_water_of_life.emmood,"Then the prince thought to himself, ""I cannot go home to my father without my brothers""; so he said, ""My dear friend, cannot you tell me where my two brothers are, who set out in search of the Water of Life before me, and never came back?""",N:Sa,N:H
the_water_of_life.emmood,"""I have shut them up by a charm between two mountains,"" said the dwarf, ""because they were proud and ill-behaved, and scorned to ask advice.""",N:A,N:H
the_water_of_life.emmood,"The prince begged so hard for his brothers, that the dwarf at last set them free, though unwillingly, saying, ""Beware of them, for they have bad hearts.""",A:A,H:F
the_water_of_life.emmood,"Their brother, however, was greatly rejoiced to see them, and told them all that had happened to him; how he had found the Water of Life, and had taken a cup full of it; and how he had set a beautiful princess free from a spell that bound her; and how she had engaged to wait a whole year, and then to marry him, and to give him the kingdom.",H:H,H:F
the_water_of_life.emmood,"Then they all three rode on together, and on their way home came to a country that was laid waste by war and a dreadful famine, so that it was feared all must die for want.",Su-:Sa,-:F
the_water_of_life.emmood,"But the prince gave the king of the land the bread, and all his kingdom ate of it.",H:H,N:F
the_water_of_life.emmood,"And he lent the king the wonderful sword, and he slew the enemy""s army with it; and thus the kingdom was once more in peace and plenty.",H:H,H:F
the_water_of_life.emmood,In the same manner he befriended two other countries through which they passed on their way.,N:N,N:F
the_water_of_life.emmood,"When they came to the sea, they got into a ship and during their voyage the two eldest said to themselves, ""Our brother has got the water which we could not find, therefore our father will forsake us and give him the kingdom, which is our right""; so they were full of envy and revenge, and agreed together how they could ruin him.",A:A,A:F
the_water_of_life.emmood,"Then they waited till he was fast asleep, and poured the Water of Life out of the cup, and took it for themselves, giving him bitter sea-water instead.",Su-:N,A:A
the_water_of_life.emmood,"When they came to their journey""s end, the youngest son brought his cup to the sick king, that he might drink and be healed.",N:N,N:A
the_water_of_life.emmood,"Scarcely, however, had he tasted the bitter sea-water when he became worse even than he was before; and then both the elder sons came in, and blamed the youngest for what they had done; and said that he wanted to poison their father, but that they had found the Water of Life, and had brought it with them.",Su-:N,-:A
the_water_of_life.emmood,"He no sooner began to drink of what they brought him, than he felt his sickness leave him, and was as strong and well as in his younger days.",N:H,N:A
the_water_of_life.emmood,"Then they went to their brother, and laughed at him, and said, ""Well, brother, you found the Water of Life, did you?",Su+:D,N:A
the_water_of_life.emmood,You have had the trouble and we shall have the reward.,H:H,N:A
the_water_of_life.emmood,"Pray, with all your cleverness, why did not you manage to keep your eyes open?",N:H,N:A
the_water_of_life.emmood,"Next year one of us will take away your beautiful princess, if you do not take care.",D:H,-:A
the_water_of_life.emmood,"You had better say nothing about this to our father, for he does not believe a word you say; and if you tell tales, you shall lose your life into the bargain: but be quiet, and we will let you off.""",D:N,-:A
the_water_of_life.emmood,"The old king was still very angry with his youngest son, and thought that he really meant to have taken away his life; so he called his court together, and asked what should be done, and all agreed that he ought to be put to death.",A:A,A:A
the_water_of_life.emmood,"The prince knew nothing of what was going on, till one day, when the king""s chief huntsmen went a-hunting with him, and they were alone in the wood together, the huntsman looked so sorrowful that the prince said, ""My friend, what is the matter with you?""",Sa:Sa,S:A
the_water_of_life.emmood,"""I cannot and dare not tell you,"" said he.",Sa:Sa,S:A
the_water_of_life.emmood,"But the prince begged very hard, and said, ""Only tell me what it is, and do not think I shall be angry, for I will forgive you.""",F:N,S:A
the_water_of_life.emmood,"""Alas!"" said the huntsman; ""the king has ordered me to shoot you.""",Sa:Sa,S:F
the_water_of_life.emmood,"The prince started at this, and said, ""Let me live, and I will change dresses with you; you shall take my royal coat to show to my father, and do you give me your shabby one.""",Su-:F,-:F
the_water_of_life.emmood,"""With all my heart,"" said the huntsman; ""I am sure I shall be glad to save you, for I could not have shot you.""",H:H,S:H
the_water_of_life.emmood,"Then he took the prince""s coat, and gave him the shabby one, and went away through the wood.",N:N,N:H
the_water_of_life.emmood,"Some time after, three grand embassies came to the old king""s court, with rich gifts of gold and precious stones for his youngest son; now all these were sent from the three kings to whom he had lent his sword and loaf of bread, in order to rid them of their enemy and feed their people.",N:N,N:H
the_water_of_life.emmood,"This touched the old king""s heart, and he thought his son might still be guiltless, and said to his court, ""O that my son were still alive! how it grieves me that I had him killed!""",D:Sa,S:H
the_water_of_life.emmood,"""He is still alive,"" said the huntsman; ""and I am glad that I had pity on him, but let him go in peace, and brought home his royal coat.""",H:H,H:H
the_water_of_life.emmood,"At this the king was overwhelmed with joy, and made it known thoughout all his kingdom, that if his son would come back to his court he would forgive him.",H:H,H:H
the_water_of_life.emmood,"Meanwhile the princess was eagerly waiting till her deliverer should come back; and had a road made leading up to her palace all of shining gold; and told her courtiers that whoever came on horseback, and rode straight up to the gate upon it, was her true lover; and that they must let him in: but whoever rode on one side of it, they must be sure was not the right one; and that they must send him away at once.",H:N,N:H
the_water_of_life.emmood,"The time soon came, when the eldest brother thought that he would make haste to go to the princess, and say that he was the one who had set her free, and that he should have her for his wife, and the kingdom with her.",N:N,N:H
the_water_of_life.emmood,"As he came before the palace and saw the golden road, he stopped to look at it, and he thought to himself, ""It is a pity to ride upon this beautiful road""; so he turned aside and rode on the right-hand side of it.",N:Su+,N:H
the_water_of_life.emmood,"But when he came to the gate, the guards, who had seen the road he took, said to him, he could not be what he said he was, and must go about his business.",N:N,N:H
the_water_of_life.emmood,"The second prince set out soon afterwards on the same errand; and when he came to the golden road, and his horse had set one foot upon it, he stopped to look at it, and thought it very beautiful, and said to himself, ""What a pity it is that anything should tread here!""",N:Su+,N:H
the_water_of_life.emmood,Then he too turned aside and rode on the left side of it.,N:N,N:H
the_water_of_life.emmood,"But when he came to the gate the guards said he was not the true prince, and that he too must go away about his business; and away he went.",N:N,N:H
the_water_of_life.emmood,"Now when the full year was come round, the third brother left the forest in which he had lain hid for fear of his father""s anger, and set out in search of his betrothed bride.",F:N,N:H
the_water_of_life.emmood,"So he journeyed on, thinking of her all the way, and rode so quickly that he did not even see what the road was made of, but went with his horse straight over it; and as he came to the gate it flew open, and the princess welcomed him with joy, and said he was her deliverer, and should now be her husband and lord of the kingdom.",H:H,H:H
the_water_of_life.emmood,"When the first joy at their meeting was over, the princess told him she had heard of his father having forgiven him, and of his wish to have him home again: so, before his wedding with the princess, he went to visit his father, taking her with him.",N:H,N:H
the_water_of_life.emmood,"Then he told him everything; how his brothers had cheated and robbed him, and yet that he had borne all those wrongs for the love of his father.",N:H,N:H
the_water_of_life.emmood,"And the old king was very angry, and wanted to punish his wicked sons; but they made their escape, and got into a ship and sailed away over the wide sea, and where they went to nobody knew and nobody cared.",A:A,A:H
the_water_of_life.emmood,"And now the old king gathered together his court, and asked all his kingdom to come and celebrate the wedding of his son and the princess.",H:H,H:H
the_water_of_life.emmood,"And young and old, noble and squire, gentle and simple, came at once on the summons; and among the rest came the friendly dwarf, with the sugarloaf hat, and a new scarlet cloak.",H:H,H:H
the_water_of_life.emmood,"And the wedding was held, and the merry bells run.",N:H,H:H
the_water_of_life.emmood,"And all the good people they danced and they sung, And feasted and frolick""d I can""t tell how long.",H:H,H:H
11_little_brother_and_little_sister.emmood,"Little brother took his little sister by the hand and said, ""Since our mother died we have had no happiness; our step-mother beats us every day, and if we come near her she kicks us away with her foot.",Sa:N,S:-
11_little_brother_and_little_sister.emmood,"Our meals are the hard crusts of bread that are left over; and the little dog under the table is better off, for she often throws it a nice bit.",Sa:N,S:N
11_little_brother_and_little_sister.emmood,May Heaven pity us.,Sa:N,S:N
11_little_brother_and_little_sister.emmood,If our mother only knew!,Sa:N,S:N
11_little_brother_and_little_sister.emmood,"Come, we will go forth together into the wide world.""",N:N,S:N
11_little_brother_and_little_sister.emmood,"They walked the whole day over meadows, fields, and stony places; and when it rained the little sister said, ""Heaven and our hearts are weeping together.""",Sa:Sa,S:S
11_little_brother_and_little_sister.emmood,"In the evening they came to a large forest, and they were so weary with sorrow and hunger and the long walk, that they lay down in a hollow tree and fell asleep.",Sa:Sa,S:S
11_little_brother_and_little_sister.emmood,"The next day when they awoke, the sun was already high in the sky, and shone down hot into the tree.",N:N,N:N
11_little_brother_and_little_sister.emmood,"Then the brother said, ""Sister, I am thirsty; if I knew of a little brook I would go and just take a drink; I think I hear one running.""",N:N,N:N
11_little_brother_and_little_sister.emmood,"The brother got up and took the little sister by the hand, and they set off to find the brook.",N:N,N:N
11_little_brother_and_little_sister.emmood,"But the wicked step-mother was a witch, and had seen how the two children had gone away, and had crept after them privily, as witches do creep, and had bewitched all the brooks in the forest.",N:N,N:-
11_little_brother_and_little_sister.emmood,"Now when they found a little brook leaping brightly over the stones, the brother was going to drink out of it, but the sister heard how it said as it ran, ""Who drinks of me will be a tiger; who drinks of me will be a tiger.""",N:N,N:-
11_little_brother_and_little_sister.emmood,"Then the sister cried, ""Pray, dear brother, do not drink, or you will become a wild beast, and tear me to pieces.""",F:N,F:N
11_little_brother_and_little_sister.emmood,"The brother did not drink, although he was so thirsty, but said, ""I will wait for the next spring.""",N:N,N:N
11_little_brother_and_little_sister.emmood,"When they came to the next brook the sister heard this also say, ""Who drinks of me will be a wolf; who drinks of me will be a wolf.""",N:N,N:-
11_little_brother_and_little_sister.emmood,"Then the sister cried out, ""Pray, dear brother, do not drink, or you will become a wolf, and devour me.""",F:N,F:-
11_little_brother_and_little_sister.emmood,"The brother did not drink, and said, ""I will wait until we come to the next spring, but then I must drink, say what you like; for my thirst is too great.""",A:N,N:-
11_little_brother_and_little_sister.emmood,"And when they came to the third brook the sister heard how it said as it ran, ""Who drinks of me will be a roebuck; who drinks of me will be a roebuck.""",N:N,N:-
11_little_brother_and_little_sister.emmood,"The sister said, ""Oh, I pray you, dear brother, do not drink, or you will become a roebuck, and run away from me.""",F:N,F:-
11_little_brother_and_little_sister.emmood,"But the brother had knelt down at once by the brook, and had bent down and drunk some of the water, and as soon as the first drops touched his lips he lay there a young roebuck.",N:N,-:-
